,Headline,Link,Date
0,"Harvard, IBM to Swayam: Free cybersecurity courses",https://news.google.com/read/CBMizgFBVV95cUxObHZLNzJlRmVYYU5tR0RRVTlDTzR5SWFOVG1RV2JLUmNPUTVTT0ZlMVViS3FKQ1B2S25yejZ4cGpEYmd4T3JQc2s0RjR6LVc1MG5LZ1NuVUgxb0kwMkVIZDlVS2lyM05Rb1IzUkhiWFJnTHRIdWxrQ1BvR08xbzNhUnFZYlVEV0NjMGJtSWo4NWdINkJ0Y2lqMVlkLWVPN1JwVENpZjh4Rm9jMTBxeGZDTHdXd0pmV2NJZGdyVHdTRGhPOHdKXzdqYVVXblZHUdIB1AFBVV95cUxPMVdPUkJmT1dzSm4zRjZoS1ZLcWdlRmlMLUZlSDVYamhXVzRnZG13dk9zUXltdEJDY056RE1MMEltdzd3QklGckZVT1RUY0VqYjZocUtWU3l5eVFtandvSlczRGk0bm5yejF3aUJ1eGpTemlnaVphQ2lqVEVSRHltV3oteVlaUVY1bjhPMFNLUk1DVmp4RjZtM2ZTSkcxSFN1TTdtblI4WkZINndoRWNMdkpEZ3p5c1ZuLVRTbmQwM0VzWU9fMmxhVEIyY0dPR3ZzdmlfSQ?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
1,Cybersecurity firm Netskope reveals 31% revenue surge in US IPO filing,https://news.google.com/read/CBMiswFBVV95cUxNYU96WnRIcllCRGhaajlsMnBWMkEyamJMaW9ETHFHajZwYWFxOF8yaVpia05pVWNaRE9OUmh6VTFkN1cxOFBRLU9FWUk3d0tyRm91RDMzRzZOcnlpb2ZmS252TzBYZFZNa1hQVVBaZk1UYUx3cFB1bnV0UmR1WFFtN2h1ZDVOSlVCR3NvYlZPUndPekdGVUZwM2htYm5YQzRFRUpCZlZpR1psUW5tSTIySlhwQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,22-08-2025
2,Jammu and Kashmir bans pen drives in government offices to strengthen cybersecurity,https://news.google.com/read/CBMi8gFBVV95cUxPTENlU1FoeE9OQ1huVEUyNDNfMVdybnk2MWJITnFHMDRSQVowSUxfMG5iakpBUmJMU3QtdDU2MFpITmJMcVo3OUQxdS04cmQ3TC1JbF9fUG5TdVptWXVaS0pfR09fNVQzREp6MGVVMndycUtGUDY2dWI2ODl0X0F1OWRuaEJWbllDRTkwVmlGNHlpZUdjeFRyZEFYRXktbUthOWNHOW8yVGVOSHcxbW0yeV9pUjR5dWhDQkNyX3NuNGl3VHlLeUxRZFNmdWh3NzFXM1pUZ2gxN1dQVUN4TGEtN2EtaUNIcGJoYmpXUy13U1Z0QdIB-AFBVV95cUxPYUstc0hwNUNOVzE3RnBQUExEN0hwck9uNHdiMjBBcXlzZlNnMXFsbFVoeGpiYjUxclhfRkNjR041TEF5NlVhWDhnYVpkVkdBQ0FHT0x2cnhzZ3E1ZS1GMzZyaHFIV0ZwTkJnWE5hR2FsM2pWWnJYVk9Tb2YtOWlEak9GMkVJVGZ6eGY2S1ZDeFM4WnhvQUxqYVpJSDBWMGFTbHlwZlhCVk9YOF9GaGZfaGNzSG84NmNHb3N1cjgyOXFEbFJ5OERtb0x6cHFIYTVHVTZSd0Z6Qi02ZE40V3NpVTF6Wjhsa05wV2ZpUXFPUzQ1ZXJzLVZ3OA?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
3,"J-K orders immediate ban on pen drives in govt offices to boost cyber security, protect sensitive information",https://news.google.com/read/CBMi8wFBVV95cUxQczUwRm5QX2UzSUNNX1dhS21UUjVveThXVVJqVXFpaHljSTF0NVg4eWttaUJ5c19HMWx6NXd5cnJ0b1d0X21RczRfOFd2QkZMak4xNm1FcGJYNEVmSkhCVEg0OTRFVWRRM2g0TmlNaFlkSzZzdnB4YmZpVDhCdmxLdzdqc0Y1alh2R1ZkRV9xQXB4Yk9xVU1HS2RNZmdvMmgxcTRCYWlUZVFPa2d1ZTRLMmFRc0RfTTZ2aTdmV0d2ZUlhRFVsQm0xVmFXVGVpWUtuejRVbk8tUTFfdUpRTUtTQnpGTTF6bmdFMWVOX2NkN2JZblE?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
4,J&K Govt bans use of Pen drives in Offices to strengthen Cyber Security,https://news.google.com/read/CBMitwFBVV95cUxQYUhvNm9vd081RmdTMGpwSUxTV0tPem56THFPR2ZLMjVCT05vZVFzZ2x1VjJxXy14cFlIQ2dxWmpaRWxRLVFQR3B3bWt1RXFhWXByWjhnX1drLVRGWTJRUXZSeU5QeWRraVFCek9LdkFPZ3M4NGpTYmJXSVA2elVsLWVqQkpTcGUtZjNJUjhfaVBtR2txMzA3eVNtTDQ4dGhCY1AteDdVZTFtY3pvYjhfMFdNY1BIY1E?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
5,LRQA Ignites Cybersecurity Conversations at CISO Singapore 2025,https://news.google.com/read/CBMipAFBVV95cUxPaGY4bGxSWV9UazNYWWY0OXhubUtWNVR2Mm1jMU1IWk5waldYWnpMX1lDOTk3SjNIV0tmTi1VOXVrbXdqai1vQzRyN1J4MDF5dFdfc2tncjJMWEVVZy1pdjV5OVVmQXZ3OE0yNGVlaE1JZ3BQRXcxVzNDS2NSNE1FQlBFSVNRMFdDMmFfakRYYVJSdTIySE1FYWlPQVBXQnM3bkpaU9IBqgFBVV95cUxNa0prNnRwSElJeThpNHFDOWZJTXNMX0trcHQ4bXdCRW53SHZ5dkFuSlc1M2s4YW5QVHl2SXZmS0JHUFZQeHNTLVB1YUNoRXVWWXd6bEtFQlBNejZFZXhUYkxoRFlteHBoUXduRlBIS2xxblhLRVd6bk1FSDJZMFFGRmUweFFXbjJHNXNCbGxXZXdPa3U1blhqYU5QMkFTVk9yel83M0tWemZMUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
6,"Rachel James, AbbVie: Harnessing AI for corporate cybersecurity",https://news.google.com/read/CBMisAFBVV95cUxQWG5nWUxKZG5Ra25VdWh0RlB0SG41UThuUlpwUG5VQXhoMEJjeXRtVnp5ZzAyMGluZkwzZVhBVUNDdlVnR1pjNDg2S09panhuU1VfRXhkcWRaejJ3TEE5X1lvU2pESkJoT05lbC1VeHFKUlh2NVJUcE01dkhJbWRpS3g4b3ZUR3hXay1oc1dOX3R6TmtkWUdpUC1UZzhxb2gwQVlNYWFYN1p4ZVM3MHRQTA?hl=en-IN&gl=IN&ceid=IN%3Aen,22-08-2025
7,Cybersecurity firm Netskope files to go public on the Nasdaq,https://news.google.com/read/CBMigAFBVV95cUxQc0FyZFR0ZGFnUy1OMlhZZTQtMEc5U3c4dmk0M0JUU3Z6X1RiTEZsTmg2OGVFSDFQaFVCbTZXTkZBcU5pb0pqQmNFekUzZ01tN3luX09PeWRNeWt6Y0xCc2xod3NEYklIUU5xd0NrLXoyZXU2YnBrel9fdmRCZDJMSdIBhgFBVV95cUxNVnI5bFU4OUhJQXBWZGFGWWxZNTBEUHo1VkhKcTBFUm5qZFlPazdPWXVXR2w3MkEwNXRKX2xSbjUxUU9yV1RkYmRtN241Wk1NNVMtcXo0Q3pqRTJVNVl4WkFUZ0t1WWdkd3plbkJHUDc0UE5NYUFGVktTOEFxTnUxQ2FLUFFUZw?hl=en-IN&gl=IN&ceid=IN%3Aen,22-08-2025
8,"Weekly Cybersecurity News Recap : Apple 0-day, Chrome, Copilot Vulnerabilities and Cyber Attacks",https://news.google.com/read/CBMibEFVX3lxTFBWSVFmTDRsb0NMZkxzYWJVeVFIV1BCTmF0ZG1PYnVpdDhsN3lVSEhmR3pLM0UtMTV3NVN4bnZlSXNpTEprWG5hWS1wemJRVHpRTmpQMS1KOU1jM29PVTlHTF9ra29tTGlYeTdsctIBckFVX3lxTE1selBnMzVuUWlWTVB3Q1BCaTEtckpiU0NreExmVWZCTW45NnJOMmFqd0xrN0pYaGFmRU83NXBJLVBkb29SZHI4NFRaOU1MaWlfeFRVejNTTjRJc0p0alp5dDNneTZqNzZYSnRxeXRFWWZCQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,24-08-2025
9,UAE Warns of Public Wi-Fi Cyber Attacks in 2025,https://news.google.com/read/CBMiswFBVV95cUxNNS1lYlhsaGo4WkdYajM2OWFFSTVpcExyZWdheDNYS3Y4TENobldJWjlFZVYzR05CSXV2dkx4bU94NE5VNmlRd2tuOGxHYnFOTWpBX3pmLVI0bDFoX1VxVnVBSGpYZk03OHlOcDlCQ05DSEJqaGpIeWxBUHk3Z1ZkT0JobG1HUE9KSmhEVXRSSFlCOWJkeHktWG9fOVhnZXJtVU1GN3lQOG5qTXdjQ01jYmlKbw?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
